지표코드,지표명,측정단위,정상범위,이상유형,문제설명,긴장근육(주요),약화근육(주요),교정운동(도수/자가),필라테스운동(Mat),필라테스운동(Reformer),필라테스운동(Cadillac),필라테스운동(Chair),필라테스운동(Barrel),임상적의미,추천레벨(초급/중급/고급),업데이트일
CVA,두개경추각,°,≥50°,낮음(거북목),경추 전만 감소 및 두부 전방 변위로 심부경부굴근 억제,"요추기립근, 장요근","다열근, 심부경부굴근","흉근신장(PNF), 흉추 가동술","Bridge, Side-Lying Leg Lift","Bridge on Reformer, Long Stretch","Arm Springs - Extension, Roll Down with Push Through Bar","Hamstring Press, Press Down Front",Swan on Ladder Barrel,경추 전만 감소 및 두부 전방 변위로 심부경부굴근 억제,초급,2025-11-06
CVA,두개경추각,°,≥50°,높음(과신전),경추 과신전 패턴으로 후두하근 과긴장,"내전근, 상부승모","능형근, 둔중근","슬괵근 마이오파샬 릴리스, 흉근신장(PNF)","Prone Scapular Retraction, Side-Lying Leg Lift","Bridge on Reformer, Knee Stretch Series","Cat Stretch, Tower Swan","Press Down Front, Swan Press",Short Box Round Back,경추 과신전 패턴으로 후두하근 과긴장,중급,2025-11-06
CVA,두개경추각,°,≥50°,정상,정상 범위 내 정렬,"견갑거근, 후두하근","다열근, 심부경부굴근","견갑하근 트리거포인트, 경정수기이완","Bridge, Swan Prep","Elephant, Long Stretch","Arm Springs - Extension, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Standing Hip Extension",Swan on Ladder Barrel,정상 범위 내 정렬,중급,2025-11-06
HPD,두부전방이동,cm,≤2cm,높음,두부 전방 돌출로 경추·흉추 이행부 스트레스 증가,"견갑거근, 내전근","심부경부굴근, 전거근","경정수기이완, 흉추 가동술","Prone Scapular Retraction, Side-Lying Leg Lift","Elephant, Footwork Parallel Heels","Cat Stretch, Leg Springs - Supine","Hamstring Press, Step Up Lateral",Adductor Stretch on Barrel,두부 전방 돌출로 경추·흉추 이행부 스트레스 증가,고급,2025-11-06
HPD,두부전방이동,cm,≤2cm,정상,정상 범위,"요추기립근, 장요근","내측광근, 비골근","견갑하근 트리거포인트, 슬괵근 마이오파샬 릴리스","Prone Scapular Retraction, Single Leg Stretch","Knee Stretch Series, Side Splits","Cat Stretch, Tower Swan","Hamstring Press, Spine Stretch Forward (Chair)",Shoulder Extension on Barrel,정상 범위,고급,2025-11-06
TIA,체간경사각,°,0–10°,높음(전방기울기),요추 전만 증가 및 고관절 굴곡 지배,"견갑거근, 내측광근","능형근, 비골근","경정수기이완, 슬괵근 마이오파샬 릴리스","Prone Scapular Retraction, Swan Prep","Long Stretch, Rowing Back","Arm Springs - Extension, Teaser Prep on Cadillac","Hamstring Press, Swan Press",Short Box Round Back,요추 전만 증가 및 고관절 굴곡 지배,초급,2025-11-06
TIA,체간경사각,°,0–10°,낮음/후방기울기,편평등 경향,"대흉근, 후두하근","심부경부굴근, 외측광근","경정수기이완, 슬괵근 마이오파샬 릴리스","Bridge, Single Leg Stretch","Footwork Parallel Heels, Rowing Back","Arm Springs - Extension, Tower Swan","Hamstring Press, Press Down Front",Shoulder Extension on Barrel,편평등 경향,중급,2025-11-06
TIA,체간경사각,°,0–10°,정상,정상 범위,"대퇴직근, 후두하근","복횡근, 전거근","장요근 스트레칭, 흉근신장(PNF)","Prone Scapular Retraction, Swan Prep","Elephant, Scooter","Arm Springs - Extension, Teaser Prep on Cadillac","Press Down Front, Step Up Lateral",Short Box Round Back,정상 범위,고급,2025-11-06
SAA,어깨전방각,°,0–10°,높음(라운드숄더),견갑 전인/상방회전 패턴,"외측광근, 햄스트링","전거근, 중하부승모","경정수기이완, 장요근 스트레칭","Hundred Prep, Single Leg Stretch","Bridge on Reformer, Elephant","Arm Springs - Extension, Roll Down with Push Through Bar","Spine Stretch Forward (Chair), Standing Hip Extension",Side Bend on Barrel,견갑 전인/상방회전 패턴,초급,2025-11-06
SAA,어깨전방각,°,0–10°,정상,정상 범위,"장요근, 햄스트링","내측광근, 복횡근","경정수기이완, 장요근 스트레칭","Bridge, Hundred Prep","Elephant, Long Stretch","Teaser Prep on Cadillac, Tower Swan","Spine Stretch Forward (Chair), Step Up Lateral",Shoulder Extension on Barrel,정상 범위,초급,2025-11-06
PTA,골반 전후경사각,°,0–15°,낮음(후경사),햄스트링/복근 지배로 요추 편평,"장요근, 햄스트링","둔중근, 중둔근","경정수기이완, 흉근신장(PNF)","Dead Bug, Spine Twist","Bridge on Reformer, Scooter","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Spine Stretch Forward (Chair), Swan Press",Side Bend on Barrel,햄스트링/복근 지배로 요추 편평,초급,2025-11-06
PTA,골반 전후경사각,°,0–15°,높음(전방경사),장요근/대퇴직근 과긴장으로 전만 증가,"대퇴직근, 요추기립근","능형근, 중하부승모","흉근신장(PNF), 흉추 가동술","Dead Bug, Rolling Like a Ball","Pulling Straps, Scooter","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Spine Stretch Forward (Chair), Swan Press",Side Bend on Barrel,장요근/대퇴직근 과긴장으로 전만 증가,고급,2025-11-06
PTA,골반 전후경사각,°,0–15°,정상,정상 범위,"대퇴이두, 소흉근","복횡근, 전경골근","슬개 추적 교정 테이핑, 흉추 가동술","Hundred Prep, Rolling Like a Ball","Footwork Parallel Heels, Scooter","Cat Stretch, Leg Springs - Supine","Press Down Front, Spine Stretch Forward (Chair)",Adductor Stretch on Barrel,정상 범위,고급,2025-11-06
KA,무릎각,°,175–185°,낮음(내반/valgum),슬관절 내반 경향으로 내측 과부하,"장요근, 햄스트링","둔중근, 비골근","경정수기이완, 슬괵근 마이오파샬 릴리스","Rolling Like a Ball, Side-Lying Leg Lift","Knee Stretch Series, Rowing Back","Leg Springs - Supine, Tower Swan","Press Down Front, Step Up Lateral",Shoulder Extension on Barrel,슬관절 내반 경향으로 내측 과부하,초급,2025-11-06
KA,무릎각,°,175–185°,높음(외반/varum),슬관절 외반 경향으로 외측 과부하,"대퇴직근, 햄스트링","내측광근, 둔중근","슬괵근 마이오파샬 릴리스, 장요근 스트레칭","Dead Bug, Single Leg Stretch","Footwork Parallel Heels, Pulling Straps","Cat Stretch, Teaser Prep on Cadillac","Step Up Lateral, Swan Press",Shoulder Extension on Barrel,슬관절 외반 경향으로 외측 과부하,초급,2025-11-06
KA,무릎각,°,175–185°,정상,정렬 양호,"외측광근, 후두하근","다열근, 둔소근","슬개 추적 교정 테이핑, 흉추 가동술","Dead Bug, Side-Lying Leg Lift","Elephant, Pulling Straps","Leg Springs - Supine, Teaser Prep on Cadillac","Hamstring Press, Standing Hip Extension",Adductor Stretch on Barrel,정렬 양호,초급,2025-11-06
Tibial,경골경사각,°,0–10°,높음(전방경사),하퇴 전방 경사 증가,"대퇴이두, 소흉근","내측광근, 비골근","슬괵근 마이오파샬 릴리스, 흉추 가동술","Chin Tuck & Axial Elongation, Swan Prep","Knee Stretch Series, Pulling Straps","Cat Stretch, Tower Swan","Hamstring Press, Standing Hip Extension",Short Box Round Back,하퇴 전방 경사 증가,고급,2025-11-06
Tibial,경골경사각,°,0–10°,정상,정상 범위,"내측광근, 장요근","외측광근, 전거근","흉근신장(PNF), 흉추 가동술","Dead Bug, Side-Lying Leg Lift","Bridge on Reformer, Footwork Parallel Heels","Roll Down with Push Through Bar, Teaser Prep on Cadillac","Press Down Front, Spine Stretch Forward (Chair)",Short Box Round Back,정상 범위,중급,2025-11-06
GSB,중력중심선,cm,≤2cm,전방편위,전신 전방 체중이동,"상부승모, 외측광근","둔중근, 심부경부굴근","경정수기이완, 슬괵근 마이오파샬 릴리스","Side-Lying Leg Lift, Single Leg Stretch","Long Stretch, Scooter","Cat Stretch, Tower Swan","Press Down Front, Swan Press",Adductor Stretch on Barrel,전신 전방 체중이동,중급,2025-11-06
GSB,중력중심선,cm,≤2cm,후방편위,후방 체중이동,"내측광근, 햄스트링","둔소근, 전경골근","경정수기이완, 흉근신장(PNF)","Hundred Prep, Spine Twist","Footwork Parallel Heels, Knee Stretch Series","Arm Springs - Extension, Leg Springs - Supine","Standing Hip Extension, Swan Press",Short Box Round Back,후방 체중이동,초급,2025-11-06
